S.No,Date,Prvs Closing,Capital Add,Opn Bal,Cash,Online,Roinet,Jio,Go2Sms,Credit,Pending,Damages,Expense,Total,Wthdrwl,Cls Bal,,,,,,,,,,,,
1,1-Jun-2023,0,"₹ 1,00,000","₹ 1,00,000","₹ 1,00,000",₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,"₹ 1,00,000",₹ 0,"₹ 1,00,000",,,,,,,,,,,,
2,2-Jun-2023,100000,₹ 0,"₹ 1,00,000","₹ 1,00,000",₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,"₹ 1,00,000",₹ 0,"₹ 1,00,000",,,,,,,,,,,,
3,3-Jun-2023,100000,₹ 0,"₹ 1,00,000","₹ 1,00,000",₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,"₹ 1,00,000",₹ 0,"₹ 1,00,000",,,,,,   ,,,,,,
4,4-Jun-2023,100000,₹ 0,"₹ 1,00,000","₹ 1,00,000",₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,"₹ 1,00,000",₹ 0,"₹ 1,00,000",,,,,,  ,,,,,,
5,5-Jun-2023,100000,₹ 0,"₹ 1,00,000","₹ 1,00,000",₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,"₹ 1,00,000",₹ 0,"₹ 1,00,000",,,,,,   ,,,,,,
6,6-Jun-2023,100000,₹ 0,"₹ 1,00,000","₹ 1,00,000",₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,"₹ 1,00,000",₹ 0,"₹ 1,00,000",,,,,,,,,,,,
7,7-Jun-2023,100000,₹ 0,"₹ 1,00,000","₹ 1,00,000",₹ 343,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,"₹ 1,00,343",₹ 0,"₹ 1,00,343",,,,,,    ,,,,,,
8,8-Jun-2023,100343,₹ 0,"₹ 1,00,343","₹ 1,00,000","₹ 1,223",₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,₹ 0,"₹ 1,01,223",₹ 0,"₹ 1,01,223",,,,,,,,,,,,
9,9-Jun-2023,101223,₹ 0,"₹ 1,01,223","₹ 20,600","₹ 78,865",₹ 9,₹ 836,"₹ 1,124",₹ 8,₹ 100,₹ 0,₹ 130,"₹ 1,01,672",₹ 0,"₹ 1,01,542",,,,,,,,,,,,
10,10-Jun-2023,101542,₹ 0,"₹ 1,01,542","₹ 3,920","₹ 96,865",₹ 29,₹ 546,₹ 661,₹ 8,₹ 100,₹ 0,₹ 160,"₹ 1,02,289",₹ 0,"₹ 1,02,129",,,,,,,,,,,,
11,11-Jun-2023,102129,₹ 0,"₹ 1,02,129","₹ 29,990","₹ 71,297",₹ 78,₹ 531,₹ 661,₹ 8,₹ 100,₹ 0,₹ 60,"₹ 1,02,725",₹ 0,"₹ 1,02,665",,,,,,,,,,,,
12,12-Jun-2023,102665,₹ 0,"₹ 1,02,665","₹ 13,570","₹ 86,612",₹ 34,₹ 782,₹ 380,₹ 8,₹ 100,₹ 0,"₹ 1,530","₹ 1,03,016",₹ 0,"₹ 1,01,486",,,,,,,,,,,,
13,13-Jun-2023,101486,₹ 0,"₹ 1,01,486","₹ 29,400","₹ 69,756",₹ 0,"₹ 1,337","₹ 1,000",₹ 8,₹ 100,₹ 0,₹ 50,"₹ 1,01,651",₹ 0,"₹ 1,01,601",,,,,,,,,,,,
14,14-Jun-2023,101601,₹ 0,"₹ 1,01,601","₹ 35,630","₹ 64,935",₹ 11,₹ 898,₹ 613,₹ 8,₹ 100,₹ 0,₹ 100,"₹ 1,02,295",₹ 0,"₹ 1,02,195",,,,,,,,,,,,
15,15-Jun-2023,102195,₹ 0,"₹ 1,02,195","₹ 40,560","₹ 60,456",₹ 2,₹ 883,₹ 517,₹ 8,₹ 100,₹ 0,₹ 150,"₹ 1,02,676",₹ 0,"₹ 1,02,526",,,,,,,,,,,,
16,16-Jun-2023,102526,₹ 0,"₹ 1,02,526","₹ 47,965","₹ 53,596",₹ 0,₹ 619,₹ 517,₹ 8,₹ 100,₹ 0,₹ 140,"₹ 1,02,945",₹ 0,"₹ 1,02,805",,,,,,,,,,,,
17,17-Jun-2023,102805,₹ 0,"₹ 1,02,805","₹ 44,480","₹ 57,916",₹ 26,₹ 305,₹ 517,₹ 8,₹ 100,₹ 0,₹ 150,"₹ 1,03,502",₹ 0,"₹ 1,03,352",,,,,,,,,,,,
18,18-Jun-2023,103352,₹ 0,"₹ 1,03,352","₹ 61,910","₹ 37,676",₹ 0,₹ 954,₹ 517,₹ 8,₹ 100,₹ 0,"₹ 2,900","₹ 1,04,065",₹ 0,"₹ 1,01,165",,,,,,,,,,,,
19,19-Jun-2023,101165,₹ 0,"₹ 1,01,165","₹ 53,120","₹ 36,750","₹ 11,095",₹ 73,₹ 517,₹ 8,₹ 100,₹ 0,₹ 330,"₹ 1,01,993",₹ 0,"₹ 1,01,663",,,,,,,,,,,,
20,20-Jun-2023,101663,₹ 0,"₹ 1,01,663","₹ 21,600","₹ 78,810",₹ 70,"₹ 1,111",₹ 421,₹ 8,₹ 100,₹ 0,₹ 120,"₹ 1,02,240","₹ 10,000","₹ 92,120",,,,,,,,,,,,
21,21-Jun-2023,92120,₹ 0,"₹ 92,120","₹ 39,180","₹ 47,100","₹ 5,076",₹ 613,₹ 421,₹ 8,₹ 100,₹ 0,₹ 40,"₹ 92,538",₹ 0,"₹ 92,498",,,,,,,,,,,,
22,22-Jun-2023,92498,₹ 0,"₹ 92,498","₹ 45,476","₹ 33,110","₹ 13,938",₹ 523,₹ 306,₹ 8,₹ 100,₹ 0,₹ 0,"₹ 93,461",₹ 0,"₹ 93,461",,,,,,,,,,,,
23,23-Jun-2023,93461,₹ 0,"₹ 93,461","₹ 24,846","₹ 50,240","₹ 17,437",₹ 523,₹ 692,₹ 8,₹ 100,₹ 0,₹ 60,"₹ 93,906",₹ 0,"₹ 93,846",,,,,,,,,,,,
24,24-Jun-2023,93846,₹ 0,"₹ 93,846","₹ 38,176","₹ 33,145","₹ 21,583","₹ 1,083",₹ 449,₹ 8,₹ 100,₹ 0,₹ 0,"₹ 94,544",₹ 0,"₹ 94,544",,,,,,,,,,,,
25,25-Jun-2023,94544,₹ 0,"₹ 94,544","₹ 38,160","₹ 54,729",₹ 414,₹ 859,₹ 449,₹ 8,₹ 100,₹ 0,₹ 40,"₹ 94,759",₹ 0,"₹ 94,719",,,,,,,,,,,,
26,26-Jun-2023,94719,₹ 0,"₹ 94,719","₹ 10,762","₹ 54,719","₹ 28,287",₹ 859,₹ 449,₹ 8,₹ 100,₹ 0,₹ 0,"₹ 95,184",₹ 0,"₹ 95,184",,,,,,,,,,,,
27,27-Jun-2023,95184,₹ 0,"₹ 95,184","₹ 18,312","₹ 63,528","₹ 13,516",₹ 392,₹ 217,₹ 8,₹ 100,₹ 0,₹ 0,"₹ 96,073",₹ 0,"₹ 96,073",,,,,,,,,,,,
28,28-Jun-2023,96073,₹ 0,"₹ 96,073","₹ 45,592","₹ 42,908","₹ 7,079",₹ 793,₹ 217,₹ 8,₹ 100,₹ 0,₹ 60,"₹ 96,757",₹ 0,"₹ 96,697",,,,,,,,,,,,
29,29-Jun-2023,96697,₹ 0,"₹ 96,697","₹ 21,872","₹ 66,042","₹ 9,277",₹ 778,₹ 217,₹ 8,₹ 100,₹ 0,₹ 10,"₹ 98,304",₹ 0,"₹ 98,294",,,,,,,,,,,,
30,30-Jun-2023,98294,₹ 0,"₹ 98,294","₹ 36,862","₹ 61,884",₹ 0,₹ 579,₹ 567,₹ 8,₹ 100,₹ 0,₹ 0,"₹ 1,00,000",₹ 0,"₹ 1,00,000",,,,,,,,,,,,
31,1-Jul-2023,100000,₹ 0,"₹ 1,00,000","₹ 39,332","₹ 50,859","₹ 8,699",₹ 579,₹ 567,₹ 8,₹ 100,₹ 0,₹ 910,"₹ 1,01,054",₹ 0,"₹ 1,00,144",,,,,,,,,,,,
32,2-Jul-2023,100144,₹ 0,"₹ 1,00,144","₹ 12,282","₹ 54,094","₹ 33,465",₹ 181,₹ 336,₹ 8,₹ 100,₹ 0,₹ 140,"₹ 1,00,606",₹ 0,"₹ 1,00,466",,,,,,,,,,,,
33,3-Jul-2023,100466,₹ 0,"₹ 1,00,466","₹ 31,902","₹ 68,076",₹ 0,₹ 751,₹ 336,₹ 8,₹ 100,₹ 0,₹ 0,"₹ 1,01,173",₹ 0,"₹ 1,01,173",,,,,,,,,,,,
34,4-Jul-2023,101173,₹ 0,"₹ 1,01,173","₹ 36,560","₹ 59,914","₹ 3,917",₹ 587,₹ 336,₹ 8,₹ 100,₹ 0,₹ 100,"₹ 1,01,522",₹ 0,"₹ 1,01,422",,,,,,,,,,,,
35,5-Jul-2023,101422,₹ 0,"₹ 1,01,422","₹ 24,450","₹ 77,019",₹ 0,₹ 388,₹ 240,₹ 8,₹ 100,₹ 0,₹ 0,"₹ 1,02,205",₹ 0,"₹ 1,02,205",,,,,,,,,,,,
36,6-Jul-2023,102205,₹ 0,"₹ 1,02,205","₹ 33,480","₹ 60,204","₹ 7,555","₹ 1,212",₹ 240,₹ 8,₹ 0,₹ 0,₹ 85,"₹ 1,02,784",₹ 0,"₹ 1,02,699",,,,,,,,,,,,
37,7-Jul-2023,102699,₹ 0,"₹ 1,02,699","₹ 21,720","₹ 73,499","₹ 7,025",₹ 814,₹ 441,₹ 8,₹ 0,₹ 0,₹ 100,"₹ 1,03,607",₹ 0,"₹ 1,03,507",,,,,,,,,,,,
38,8-Jul-2023,103507,₹ 0,"₹ 1,03,507","₹ 7,740","₹ 92,019","₹ 3,178",₹ 516,₹ 441,₹ 8,₹ 0,₹ 0,₹ 0,"₹ 1,03,902",₹ 0,"₹ 1,03,902",   ,,,,,,,,,,,
39,9-Jul-2023,103902,₹ 0,"₹ 1,03,902","₹ 76,470","₹ 23,959","₹ 3,513",₹ 263,₹ 441,₹ 8,₹ 0,₹ 0,₹ 0,"₹ 1,04,654",₹ 0,"₹ 1,04,654",,,,,,,,,,,,
40,10-Jul-2023,104654,₹ 0,"₹ 1,04,654","₹ 53,610","₹ 45,369","₹ 5,226",₹ 24,₹ 441,₹ 8,₹ 0,₹ 0,₹ 100,"₹ 1,04,778",₹ 0,"₹ 1,04,678",,,,,,,,,,,,
